{[s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2_inv]};[u[-8],u[-7],v[0]]
{[s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2,s_2]};[u[-7],u[-6],v[0]]
{[s_1_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1],[s_2,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2_inv]};[u[-7],v[0],w[7]]
{[s_2_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2_inv]};[u[-7],w[7],u[-6]]
{[s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2_inv],[s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2,s_1_inv,s_2_inv,s_1_inv],[s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2_inv,s_1_inv,s_2_inv,s_1],[s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2_inv,s_1_inv,s_2_inv,s_2_inv,s_1],[s_1_inv,s_1_inv,s_1_inv,s_2_inv,s_1_inv,s_2_inv,s_2_inv,s_2_inv,s_1],[s_1_inv,s_1_inv,s_2_inv,s_1_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1],[s_1_inv,s_2_inv,s_1_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1],[s_2_inv,s_1_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1]};[u[-6],u[-5],v[0]]
{[s_1,s_1,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1],[s_1_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1_inv,s_1_inv],[s_2,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2,s_2],[s_2_inv,s_2_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2_inv]};[u[-6],v[0],w[6]]
{[s_1,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1,s_2_inv,s_1_inv],[s_1,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1_inv,s_2],[s_1_inv,s_2,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2,s_1_inv],[s_1_inv,s_2_inv,s_1,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1],[s_2,s_1_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_2_inv,s_1],[s_2,s_2,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2_inv],[s_2_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_1_inv,s_2,s_2]};[u[-6],w[6],u[-5]]
{[s_1,s_1,s_1,s_1,s_1,s_1,s_1,s_2,s_1_inv],[s_1,s_1,s_1,s_1,s_1,s_1,s_2_inv,s_1,s_2]};[w[-6],w[-7],v[1]]
{[s_1,s_2_inv,s_1,s_1,s_1,s_1,s_1,s_1,s_2_inv],[s_1_inv,s_2,s_2,s_2,s_2,s_2,s_2,s_1_inv,s_2]};[w[-6],v[1],u[7]]
{[s_1,s_2,s_2,s_2,s_2,s_2,s_2,s_2,s_1]};[w[-6],u[7],w[-7]]
